pid,abstract_no,coauthors,abstract
156,INS9-0075,,"Predicting damage prior to catastrophic failure remains one of the biggest challenges for many materials we depend on for safety. Current methods like piezoresistors are sensitive but not scalable, whereas mechanophores are limited from low-strain applications and require material-specific chemistry. Here, we adopt a universal approach, developing a mechanophore-laden epoxy paint and applied it on 6061 aluminum, correlating increases in bending strain and fluorescence of the epoxy layer with slip lines in the aluminum. The sensitivity depended on network architecture, with increased branching demonstrating higher colorimetric sensitivity in not only single-event three-point bending, but more importantly fatigue damage in the elastic regime as low as 2.5%. These findings shed light on optimization strategies for mechanical transduction through polymers and heterointerfaces, and demonstrate the wide-scale feasibility of mechanophoric paint to enhance safety and reduce unnecessary waste for structural materials."
1212,INS9-1101,,"Marine plastic pollution continues to escalate, with large amounts of short ‑ lived plastics entering oceans and fragmenting into microplastics that threaten ecosystems and human health. Although PLA is biodegradable in composting environments, it remains highly persistent in seawater due to low temperature, limited microbial activity, and restricted water diffusion. Achieving practical marine degradability requires molecular ‑ level control of hydrophilicity, crystallinity, chain mobility, and enzymatic accessibility while preserving mechanical durability. This work presents a unified molecular ‑ design strategy for marine ‑ adaptive bioplastics by combining hydrophilic pathways, controlled block sequences, and biomass ‑ derived monomers. PEG–PLA multiblock copolymers show that hydrophilic segments create water ‑ penetration routes that accelerate hydrolysis and enzymatic degradation, enabling 50–70% seawater biodegradation within 28 days. Xylose ‑ derived PAX ‑ co ‑ PLA copolymers demonstrate how biomass ‑ based segments provide toughness while allowing controlled degradation; PHX ‑ co ‑ PLA loses structural integrity within one month in seawater yet maintains low water uptake. Together, these materials reveal general principles for designing next ‑ generation marine ‑ degradable bioplastics: hydrophilic pathways that enhance seawater penetration, block ‑ sequence control that tunes toughness and degradation, and biomass ‑ derived monomers that improve functionality without increasing environmental burden. This integrated approach enables precise adjustment of degradation rates and mechanical performance, offering a promising route toward sustainable materials capable of mitigating marine plastic pollution."
138,ORS9-0057,,"The transition toward sustainable technologies requires advanced materials that combine high performance, multifunctionality, and reduced environmental impact. This presentation highlights recent developments in bio-based UV-curable polymer systems derived primarily from renewable vegetable oils and lignocellulosic resources, designed for additive manufacturing and advanced functional applications. A series of sustainable photopolymer formulations based on acrylated vegetable oils, bio-derived monomers, and natural fillers were developed and processed using extrusion-based and vat photopolymerization 3D printing technologies. Hybrid lignocellulosic fillers, including lignin, cellulose nanocrystals, cellulose nanofibrils, and hemicellulose, enabled the fabrication of wood-mimicking structures with tunable surface morphology, enhanced thermomechanical properties, and improved thermal stability. The synergistic interaction between fillers provided customizable textures and structural performance while maintaining high bio-based content. Beyond structural materials, bio-derived shape memory polymers with biosourced carbon contents up to 87% were developed for 4D printing applications. Through precise formulation design, glass transition temperatures and mechanical properties were linearly tuned, while the incorporation of small amounts of carbon nanotubes enabled remote actuation through electrical and light stimuli. The resulting structures demonstrated excellent shape-fixity and recovery performance, enabling programmable and multifunctional actuation. The versatility of these material platforms was further demonstrated in sustainable triboelectric nanogenerators, protective coatings, and biocompatible ionic polymer actuators. Fully bio-based and degradable triboelectric materials exhibited substantially enhanced power generation through molecular and surface engineering approaches. UV-curable coatings provided excellent optical transparency, mechanical adaptability, adhesion, and wear resistance, while directly printed ionic polymer actuators achieved record bending performance for biocompatible systems, opening opportunities for soft robotics and human-interactive devices. Collectively, these results demonstrate how renewable feedstocks, advanced polymer chemistry, and additive manufacturing can be integrated to create next-generation sustainable materials for applications ranging from structural components and protective coatings to energy harvesting systems, smart actuators, and soft robotic technologies. The presented research contributes to the development of regenerative and circular material solutions capable of addressing future technological and environmental challenges."
258,ORS9-0176,,"The development of biomaterials that can promote tissue healing and regeneration is fundamental to the field of regenerative medicine. Our research tackles one of the core challenges in this field by revolutionizing the chemical tools in green biomaterial manufacturing. We address the limitations of conventional photopolymerisation - namely its reliance on toxic and UV light sensitive photoinitiators - by developing a new class of low-toxic visible-light photoinitiators. This innovation paves the way for cytocompatible manufacturing under mild conditions. This presentation will detail our approach, demonstrating how advancing the photochemical “engine” establishes a powerful new paradigm for advanced manufacturing and polymer materials."
1857,KES9-1661,,"Rubber seeds are an underutilized agricultural resource, with rubber seed oil (RSO) containing a diverse range of saturated and unsaturated fatty acids (FAs), including palmitic acid, stearic acid, oleic acid (OA), linoleic acid (LA), and linolenic acid. Despite this chemical richness, the conversion of RSO-derived components into high-value functional materials remains largely unexplored. This presentation highlights a materials-oriented approach in which OA and LA serve as renewable molecular building blocks for the construction of functional polymeric networks. Dynamic covalent chemistry is employed to impart network adaptability while maintaining the mechanical integrity of the resulting bio-based elastomers. The resulting materials demonstrate a range of functional characteristics, including high stretchability, adhesion, reprocessability, and self-healing. Beyond the specific polymer systems, the work demonstrates the potential of transforming components derived from rubber seeds into functional polymeric materials and provides a platform for further development of sustainable materials based on renewable fatty-acid resources."
1122,INS9-1023,,"The transition toward a circular economy demands material systems that simultaneously achieve functional performance, manufacturing feasibility, and sustainable end-of-life management. In this work, we present an integrated research perspective on circular material development based on the design and engineering of next generation biobased materials. Our approach explores multiple material design strategies spanning sustainable polymer development, lifecycle responsive material functionality, and end-of-life considerations for resource circulation. Rather than focusing on a single material platform or degradation mechanism, this framework aims to establish design principles that connect material synthesis, performance optimization, process compatibility, and circular utilization pathways. Particular emphasis is placed on the concept that sustainability should be incorporated as a material design parameter from the earliest stages of development rather than treated as a post use solution. By integrating approaches across molecular design, functional interfaces, and controllable lifecycle behaviors, this work highlights opportunities to extend material utility while enabling recovery, regeneration, and reduced environmental burden. Collectively, this presentation proposes a circular by design paradigm for advanced biobased materials and discusses future directions toward scalable and practical implementation of circular material systems."
190,ORS9-0109,,"The transition towards circular food packaging requires recycled polymers that retain functional performance while complying with food-contact safety requirements. Although considerable effort has focused on improving recycled plastics, scarce information is available on the recyclability of active advanced food-packaging systems and the evolution of migration during repeated processing. This study investigated the effect of simulated mechanical recycling on the properties and migration behavior of an antioxidant polypropylene packaging (Velásquez et al., Mater. Des., 2026; ACS Appl. Polym. Mater., 2026). Structural, morphological, thermal, mechanical (tensile and IZOD impact), sealability, barrier, and overall migration properties were evaluated throughout reprocessing. The influence of the packaging components on recycled polypropylene was also assessed separately. The active packaging remained reprocessable by cast extrusion and retained key properties, including melt flow rate, thermal stability, and impact resistance. Reprocessing increased elongation at break by 8-fold relative to the original packaging. Moreover, the oxygen permeability of the reprocessed packaging was 65% lower than that of the recycled polypropylene control at the same number of reprocessing cycles. Interestingly, although the original packaging exceeded the regulatory overall migration limit in an acidic food simulant, successive reprocessing reduced migration by approximately 34%. These findings demonstrate that recycled polypropylene packaging can retain critical performance attributes after repeated processing, supporting the potential development of circular food-packaging systems. However, further innovation is required to simultaneously optimize barrier performance, mechanical properties, and food-contact safety of the recycled active polypropylene before its safe reincorporation into food-contact applications."
840,ORS9-0751,"Bing Chun Wang (Department of Forestry, National Chung Hsing University)","What happens to coffee grounds after the last cup is brewed? In this study, spent coffee grounds were reimagined as a renewable feedstock for sustainable polyurethane (PU) foams. Instead of being treated as waste, the grounds were converted into reactive bio-based polyols through a short polyol liquefaction process using a PEG400/glycerol co-solvent system. The resulting liquefied spent grounds exhibited suitable hydroxyl functionality and processability for PU foam preparation. Two-component PU foams were prepared using the liquefied bio-polyol with different isocyanate systems, including hexamethylene diisocyanate biuret trimer and polymeric methylene diphenyl diisocyanate (PMDI). The NCO/OH molar ratio was adjusted to tailor the hard-segment content, crosslinking structure, and cellular morphology of the foams. The incorporation of liquefied spent grounds not only introduced renewable carbon into the PU network but also influenced foam formation. Biomass-derived residues acted as reinforcing components and possible heterogeneous nucleation sites, contributing to improved cell stability and reduced foam anisotropy. The resulting PU foams exhibited low thermal conductivity, good solvent resistance, and enhanced compressive performance, especially in PMDI-based formulations. The properties analysis indicated that increasing the NCO/OH ratio promoted urethane and urea formation, enhanced hydrogen bonding, and improved the crosslinked network structure. These findings demonstrate that spent grounds can be upgraded from a daily waste stream into functional polymer foams with potential applications in thermal insulation, lightweight composites, and circular bio-based materials. This work presents a simple and promising “ waste-to-polymer ” strategy, transforming a familiar residue from everyday life into sustainable PU foam materials for the next generation of low-carbon polymer applications."
1164,ORS9-1056,"Nam Duc Vu (Universite Claude Bernard Lyon 1, CNRS, CPE Lyon, UMR 5128, Laboratory of Catalysis, Polymerization, Processes and Materials (CP2M), 43 Bd du 11 Nov. 1918, Villeurbanne, France), Cécile Rosier (Elkem Silicones, R&D Chemistry, R&I Centre “ATRiON,” 9 rue Spécia, Saint-Fons, France), Eugénie Blaser (Elkem Silicones, R&D Chemistry, R&I Centre “ATRiON,” 9 rue Spécia, Saint-Fons, France), Aurelie Boulegue-Mondière (Elkem Silicones, R&D Chemistry, R&I Centre “ATRiON,” 9 rue Spécia, Saint-Fons, France), Joséphine Munch (Elkem Silicones, R&D Chemistry, R&I Centre “ATRiON,” 9 rue Spécia, Saint-Fons, France), Anne Fabris (Elkem Silicones, R&D Chemistry, R&I Centre “ATRiON,” 9 rue Spécia, Saint-Fons, France), Vincent Monteil (Universite Claude Bernard Lyon 1, CNRS, CPE Lyon, UMR 5128, Laboratory of Catalysis, Polymerization, Processes and Materials (CP2M), 43 Bd du 11 Nov. 1918, Villeurbanne, France), Jean Raynaud (Universite Claude Bernard Lyon 1, CNRS, CPE Lyon, UMR 5128, Laboratory of Catalysis, Polymerization, Processes and Materials (CP2M), 43 Bd du 11 Nov. 1918, Villeurbanne, France)","Chemical recycling of silicones into monomers is a key strategy for developing a sustainable circular polymer economy. However, the recycling of silicone materials, especially highly cross-linked elastomers and resins, remains challenging due to the robustness of the silicon-oxygen backbone and the limited efficiency of existing methods. In this context, silicone depolymerization into chlorosilane precursors offers an original catalytic route, as chlorosilanes are essential building blocks for both silicone production and microelectronics applications (e.g., silicon wafers and semiconductor devices). Chlorosilanes are particularly attractive targets since they can be distilled and thus purified, enabling potentially infinite reuse of silicon atoms without downcycling. We present a general and efficient method for the depolymerization of a wide range of silicone-based materials, including post-consumer silicone waste, formulated elastomers and highly cross-linked resins. The reaction proceeds at mild temperatures (40-110 °C) using gallium- or iron-based catalysts, and shows good tolerance toward additives and complex formulations typically found in industrial silicone waste. Near-quantitative yields of (methyl)chlorosilanes are obtained, highlighting the efficiency and selectivity of the process. This method enables overcoming the thermodynamic barrier associated with the exchange of silicon-oxygen bonds for silicon-chlorine bonds and represents a promising approach toward closed-loop recycling of silicones compatible with existing industrial infrastructures."
1175,ORS9-1065,"Sara Yousefshahi (Heidelberg University), Andy Mach (Karlsruhe Institute of Technology), Zoe Schweiger (Karlsruhe Institute of Technology), Tom Hasell (University of Liverpool), Emmanuel Richaud (ENSAM ParisTech), Sabine Beuermann (University of Clausthal), Michael Meier (Karlsruhe Institute of Technology), Ute Schepers (Karlsruhe Institute of Technology), Patrick Théato (Karlsruhe Institute of Technology)","This work presents strategies for upcycling textile waste and sulfur waste into functional polymers and composites. First, cellulose is extracted from waste textiles and chemically functionalised using a more sustainable approach compared with conventional industrial methods. The resulting modified cellulose serves as a precursor for hydrogel formation, enabling applications in wound dressings and can further be processed via 3D-printing, paving the way for patient ‑ specific medical treatments and customisable biomaterials. Second, elemental sulfur is transformed through inverse vulcanisation, a process that enables copolymerisation with a wide range of monomers. This method allows the tuning of thermal, optical, and mechanical properties of sulfur ‑ rich polymers for applications in areas such as optics, energy storage, and environmental remediation. Despite growing interest in these materials, their long ‑ term stability under realistic environmental conditions remains insufficiently studied. To address this gap, we systematically expose polymers derived from both fossil ‑ based and renewable monomers to heat, radiation, moisture, pH variations, and biological attack. By correlating structural changes with performance degradation, we provide a comprehensive understanding of their ageing behaviour and durability. Finally, we combine both waste streams by incorporating textile fibers as filler materials into inverse vulcanised polymers. While sulfur polymers synthesised from renewable (used) vegetable oils offer low environmental impact and simple processing, they typically suffer from poor mechanical strength. Introducing textile ‑ derived fillers, along with additional crosslinkers, substantially enhances their structural integrity and broadens their potential applications. Importantly, these composites remain reprocessable at their end ‑ of ‑ life, supporting circular material flows."
160,KES10-0079,,"Onsager principle is the principle proposed by Lars Onsager in 1931 in his second paper on the reciprocal relation. The principle formed the core of the classical irreversible thermodynamics. It is particularly important in soft matter physics, since most phenomena taking place in soft matter obey this principle, and existing kinetic equations are derived from this principle. The principle is also useful as a tool for solving problems. Like Lagrangean in classical mechanics, it gives flexibility in choosing coordinate system, and helps up to derive governing equations to be solved. Furthermore, being a minimum principle, it provides various ways of finding the solution, i.e., the minimum. Here I review this important and useful principle from a practical view point emphasizing what it is, how it works and how to use it."
543,KES10-0459,,"Block copolymer self-assembly generates a rich variety of ordered nanostructures governed by the interplay of molecular architecture, thermodynamics, and geometry. Recent developments in self-consistent field theory (SCFT) have revealed unexpected connections between topology, symmetry, and nanoscale packing beyond the classical phase behavior of diblock copolymers. This presentation introduces the concept of gyroidal engineering , in which gyroid-derived geometrical principles serve as a framework for discovering and understanding nonclassical polymeric nanostructures. Using SCFT simulations and Landau analysis, we uncover previously unexplored ordered states and hidden relationships among seemingly distinct self-assembled phases. The results highlight how theoretical design can reveal new organizational principles and broaden the landscape of accessible polymeric nanomaterials."
503,INS10-0419,,"Oppositely-charged macromolecular species can undergo an associative phase separation, in a process known as complex coacervation. There has been significant interest in coacervation between two polyelectrolytes, however for many biological and industrial applications coacervation occurs between species where at least one of the components is not a linear polymer. This includes coacervates driven by charged proteins, colloids, or surfactant micelles. We have developed a hybrid simulation and field theory calculation to capture the physics of liquid-liquid phase separation in polymer-surfactant micelle coacervates. We demonstrate the importance of charge correlations between strongly-charged micellar surfaces, and use molecular simulation to make predictions for the strength and form of this interaction. These results allow us to map out the phase behavior of these polyelectrolyte-surfactant micelle coacervates upon varying parameters such as the micelle surface charge density, the polyelectrolyte chain length, and the role of steric repulsions between micelles. We show qualitative agreement with experimental collaborators, and show that a coexistence exists between micelle-dilute and micelle-dense phases reflects a competition between charge correlations and excluded volume. We also elaborate on the nature of these charge correlations, and study how polyelectrolyte sequence affects micelle-micelle interactions."
1795,KES10-1622,,"The advent of innovative molecular modeling algorithms, optimization strategies, and machine learning techniques is ushering a new era of materials science and engineering in which computational tools are routinely used to probe, design, and interrogate matter and functional materials systems. In this presentation, I will illustrate some of these ideas in the context of a variety of challenges that arise with macromolecules and polymeric materials. I will first discuss the use of new methods from artificial intelligence to design complex monomers and polymers with desirable equilibrium properties. I will then discuss emerging models for prediction and design of the nonequilibrium behavior, including the rheology, of polymers. Throughout the presentation, I will emphasize remaining challenges and opportunities in the area of sustainable plastics design."
1123,KES10-1024,,"PEDOT:PSS is a promising material for electronic-skin applications but it still exhibits limited conductivity and stretchability. Vigorous mixing with hard-cation-soft-anion ionic liquids (ILs) has emerged as a powerful tool to enhance its conductivity. Recent experiments have demonstrated that such IL treatments improve its stretchability as well, but the molecular mechanism behind such enhancements remains unclear. Herein we use molecular dynamics simulations to investigate structural and mechanical effects of treating PEDOT:PSS with two hard-cation-soft-anion ILs such as 1-ethyl-3-methylimidazolium and 3-methylimidazolium tetracyanoborates. Starting from the simulations on the aqueous solution models of pristine and IL-treated PEDOT:PSS (simulated mixing), we mimic water evaporation at various temperatures (simulated drying and annealing up to 140 o C). The resulting fibular structure of PEDOT:PSS is then subjected to uniaxial deformation to mimic the stress-strain curves (simulated pulling). This series of simulations reveal that the IL treatment indeed reduces the elastic modulus and the maximum stress of PEDOT:PSS, agreeing with the experimental findings. Hydrophilic (hard) cations, such as the protic 3-methylimidazolium, indeed plays a critical role in this improvement by holding water around them in the dry film. This is a showcase where IL-induced rearrangements at the molecular level translate into improved macroscopic stretchability and mechanical robustness. Such molecular-level insights would provide a foundation to develop intrinsically stretchable conducting polymer films and pave a way for their application in stretchable electronic devices. To draw more realistic picture of the materials and processes at a larger scale, we are now developing a coarse-grained model of PEDOT:PSS from the above atomistic simulation data, utilizing AI for the scale bridging."
1812,INS10-1629,"Li-You Lin (Department of Chemical Engineering, National Tsing Hua University), Tien-Lin Wu (Department of Chemistry, National Tsing Hua University), Li-Yin Chen (Department of Photonics, National Yang Ming Chiao Tung University)","Organic semiconductor gas sensors are promising for agriculture, environmental monitoring, and medical diagnostics because they enable low-power, room-temperature operation on low-cost and mechanically flexible platforms. However, the molecular mechanism by which adsorbed gas molecules perturb charge transport remains unclear. Here, using the boron-containing organic semiconductor CzDBA as a model system, we employ multiscale simulations to distinguish the effects of physically adsorbed NH 3 from chemically adsorbed NH 3 formed through Lewis acid–base interactions with the boron centers, and determine which adsorption mechanism can effectively modulate charge-carrier mobility and produce an NH 3 sensing response. Our framework combines density functional theory, molecular dynamics, and kinetic Monte Carlo simulations within a hopping-transport model. We find that the two adsorption modes have fundamentally different effects on hole transport. Chemisorption of NH 3 at the Lewis-acidic boron center shifts the hole site energy of the NH 3 –CzDBA complex relative to pristine CzDBA, generating shallow trapping sites that transiently localize holes and slow their transport. Consequently, the hole mobility decreases systematically with increasing concentration of chemisorbed NH 3 , providing a direct microscopic mechanism for the experimentally observed reduction in current upon NH 3 exposure. In contrast, physically adsorbed NH 3 generates strongly perturbed sites that are energetically unfavorable for hole occupation and therefore do not act as effective hole traps. At the low NH₃ concentrations relevant to sensing experiments (<1%), varying the amount of physically adsorbed NH 3 produces no clear systematic change in hole mobility. These results identify Lewis acid–base chemisorption, rather than physical adsorption, as an effective mechanism for translating NH 3 binding into a measurable charge-transport response. More broadly, the study demonstrates how specific molecular interactions can be engineered to create shallow transport traps, providing a mechanistic design principle for highly sensitive organic NH 3 sensors and other chemically responsive semiconductor materials."
1873,INS10-1663,,"We develop a theoretical framework for describing the ionization of semidilute weak polyelectrolytes in equilibrium with a reservoir that defines the pH and salt concentration. Charged monomers are modeled as planar or cylindrical geometries, and the inter-monomer electrostatic interactions are explicitly addressed based on the non-linear Poisson-Boltzmann equation and Langmuir adsorption isotherm equation. Asymptotic analysis yields analytical scaling laws for the ionization degree across three distinct regimes, determined by the relative magnitudes of the surface potential and charge fraction. These regimes further correspond to different pH intervals where hydrogen, salt, or hydroxide ions dominate the electrostatic and ionization equilibria. Comparison between planar and cylindrical cell models reveals that curvature amplifies near-surface electric fields and ionic enrichment, resulting in stronger charge screening and smaller densities of ionizable groups. By extending the Henderson-Hasselbalch and Donnan descriptions beyond their applicability limits, this theory provides a generic framework that captures ionization in both open and semi-open systems, bridging the transition from overlapping to non-overlapping electric double layers in semidilute weak polyelectrolytes. [1] M. Duan, R. Zhang, J. Chen, G. Chen , Universal scaling laws for surface ionization: influence of salt, confinement, and pH, Langmuir , 41, 26, 16867–16873 (2025) [2] R. Zhang, M. Duan, J. Chen, G. Chen , Ionization of Semidilute Weak Polyelectrolytes in Equilibrium with a Reservoir, Macromolecules, accepted"
587,INS10-0501,,"Protein nanocages are promising platforms for vaccine design, biologics delivery, and synthetic nanomaterials, but conventional point-group symmetric assemblies are limited in size and complexity. Inspired by viral symmetry breaking and quasisymmetry, we developed design strategies to generate higher triangulation number and quasisymmetric protein cages. Pseudosymmetrization of trimeric building blocks enabled T = 4 tetrahedral, octahedral, and icosahedral cages containing 48, 96, and 240 subunits. In parallel, programmed curvature combined with parametric cage modeling and RFdiffusion generated large quasisymmetric assemblies, including T = 3 to T = 36 cages with 180 to 2160 subunits and diameters up to 220 nm. Electron microscopy and cryo-EM confirmed the designed architectures and revealed how local interface symmetry breaking drives global penton and hexon formation. These results establish a general framework for designing complex protein nanocages for multivalent antigen display, targeted delivery, and biomolecular materials."
449,KES10-0365,,"There is a need for new fluorine-free polymers for proton and anion-exchange membranes in various electrochemical devices including fuel cells. Achieving high conductivity in hydrated, ion-conducting polymers typically requires the hydrophobic backbone of the polymers to be nanophase separated from the hydrophilic domains so that the ions (protons or hydroxide ions) have well-defined water domains for efficient transport. The ion and water transport thus depends strongly on the hydration level and on the detailed morphology of the hydrophilic domains. Atomistic molecular dynamics (MD) simulations are well-suited to understanding the molecular-level relations between morphology and dynamics. I will discuss our recent simulations of both anionic and cationic all-hydrocarbon polymers that conduct protons or Na+ ions and hydroxide or Cl- ions, respectively. Comparisons will be made to experiments on the same systems, especially X-ray scattering and conductivity. For both classes of polymers, the morphologies of the hydrophilic domains can be characterized through their water channel width distributions, surface areas, and signatures in simulated X-ray scattering intensities. Water and ion diffusivities calculated from the MD simulations are consistent with changes in the nanoscale morphology with changing water content.  Interestingly, the water content is a larger determinant of water diffusivity than the ion exchange capacity (IEC) of the polymers. This work was performed, in part, at the Center for Integrated Nanotechnologies, an Office of Science User Facility operated for the U.S. Department of Energy (DOE) Office of Science. Sandia National Laboratories is a multimission laboratory managed and operated by National Technology & Engineering Solutions of Sandia, LLC, a wholly owned subsidiary of Honeywell International, Inc., for the U.S. DOE’s National Nuclear Security Administration under contract DE-NA-0003525."
597,INS10-0511,,"Inorganic glass solid-state electrolytes (IGSSEs) have emerged as promising materials for next-generation all-solid-state lithium batteries because of their remarkable room-temperature ionic conductivity. However, the microscopic mechanism behind such superionic transport remains unclear. A long-standing debate centers on the “paddlewheel effect,” which proposes that lithium ion diffusion is assisted by the rotational motion of surrounding polyanions, though evidence for this mechanism has been inconclusive. In this talk, I will present a systematic computational framework combining large-scale machine learning molecular dynamics (MLMD) simulations with hop function analysis to investigate ion conduction in IGSSEs. A machine learning interatomic potential was developed for model systems of Li x AlCl 3+x (x = 0.25–3), accurately reproducing the experimentally observed non-monotonic composition dependence of lithium-ion conductivity, with a maximum at x = 1. Detailed analysis reveals that lithium transport occurs mainly through cascading hopping events rather than paddlewheel-like motions. We extend this approach to different types of electrolytes including organic ionic plastic crystals (OIPCs), Li 3 PS 4 and NaTaOCl 4 . This work provides mechanistic insight into ion transport in electrolytes and demonstrates how machine learning–driven molecular simulations can uncover complex diffusion behaviours in disordered materials."
1129,INS10-1030,,"Solid polymer electrolytes are of interest for safer, nonflammable batteries. Polyethylene oxide (PEO) doped with various lithium salts has been extensively studied, though it has a relatively low modulus and its propensity to crystallize reduces its ion conductivity. Many other systems have been considered, including with different polymer and ion chemical structures and different polymer architectures, such as side chain PEO-based systems (in which crystallinity is disrupted) or diblock systems that microphase segregate to create regions of high modulus that can prevent lithium dendrite growth. Given this large macromolecular design space, we aim to use simple coarse-grained molecular dynamics simulations to identify what are the most important molecular features of these systems and how they act together to control ion conductivity. Specifically, we build on bead-spring models of polymers, but set different bead properties for different polymer types, adjusting their glass transition temperatures by scaling like-like interactions and applyling stiff angles set to match the Kuhn density. We include additional ion solvation potentials with settings based on the component polymer dielectric strengths, overall creating a semi-generic coarse-grained model that uses simplified potentials parameterized mostly with literature values for pure component properties. While still being simple, this allows us to map more specifically to experimental polymers and copolymers of interest and to better show the effects of different chain architectures. In one example, we find that such a model reproduces the experimentally observed effects of increasing side chain length on ion conductivity in a system with a poly(methyl methacrylate) backbone and PEO side chains (with most parameters set from these two polymers' properties). These effects were seen to depend on setting backbone-side chain angle potentials to appropriately couple the dynamics, providing insight into their origin."
1868,ORS10-1660,,"Glycans on the cell surface play an essential role in mediating cell–cell interactions and immune response. Despite their importance, the interactions between them have not been fully characterized. In this talk, I present a computational study based on all-atom molecular dynamics simulations and free energy calculations, revealing that water-mediated interactions between a pair of N-glycans without a net charge are weakly repulsive with a range that exceeds their sizes. Unexpectedly, the effective glycan–glycan interactions decay logarithmically as the separation between them increases. Strikingly, this finding coincides exactly with the predicted interaction, which is entropic in origin, between two star polymers consisting of long flexible polymers grafted onto colloidal particles. The weak repulsive interaction, which extends beyond the size of a glycan, is sensitive to the relative orientation of the glycans. The effective long-range repulsive interaction vanishes if the charges on water are turned off, thus establishing that electrostatic interactions, arising in part due to the persistent hydrogen bonds between water and the glycans, are responsible for the interglycan repulsion."
1165,KES10-1057,,"Polydispersity is often regarded as an unavoidable consequence of polymer synthesis, yet it can also serve as a powerful design parameter for controlling the structure, stability, and functionality of soft materials. This talk will explore how molecular diversity can be harnessed to engineer polymer brushes and self-assembled block copolymer nanostructures across a range of geometries and architectures. Starting from polymer brushes, I will show how extending strong-stretching theory to curved, polydisperse brushes reveals new opportunities to tailor chain-end distributions, mechanical properties, and end-exclusion zones through carefully designed molecular weight distributions. These results demonstrate that dispersity provides an additional degree of freedom for controlling interfacial properties beyond conventional architectural parameters. The second part examines the role of dispersity in block copolymer self-assembly. Using self-consistent field theory, I will show that polymer length dispersity can unexpectedly improve the stability and uniformity of micelles by enabling more efficient packing within their solvophobic cores. Extending this concept to hyperbranched block copolymers reveals that architectural polydispersity provides even greater opportunities for materials design. Compared with monodisperse dendritic analogues, hyperbranched copolymers form micelles with lower critical micelle concentrations, enhanced thermodynamic stability, increased drug-loading capacity, and abundant surface functional groups, with many of these advantages becoming even more pronounced as the degree of polydispersity increases. Together, these examples illustrate a common theme: rather than being a synthetic imperfection, polydispersity can be exploited as a versatile materials design principle. By combining theoretical modeling with self-consistent field calculations, this work provides new insights into how molecular-level heterogeneity can be translated into predictable and tunable macroscopic properties."
1115,INS10-1017,,"Brush-grafted narrow channels have the advantage of a tunable response to external stimuli, allowing us to use them in various applications, such as sensing, actuators, and current rectification [1,2]. On the basis of the continuum mechanics approach, we developed a computational model for long-range electrostatic and electrokinetic interactions of Newtonian simple fluids as well as polyelectrolyte solutions in brush-grafted microchannels. In this model framework, the Poisson-Nernst-Planck equations are explicitly solved for the electrostatic field incorporated with the Alexander-de Gennes model for polyelectrolyte brush-layer. Here, the Brinkman hydrodynamic friction is addressed inside, and each ion concentration can be estimated by multi-species ion balance. A rheological model of Bird-Carreau type [3] is applied in the Cauchy equation to describe the exemplar solution of anionic polyacrylic acid (PAA). This talk presents the discriminating results regarding the quantitative effects of grafting properties in terms of grafting density, counter-ion condensation, and Kuhn length predicted by employing coarse-grained mesoscale simulations. The electrostatic potential increases with grafting density, whereas the surface potential decreases with increasing Kuhn length clearly unlike in the bulk. It is emphasized that the flow velocity decreases with either higher grafting density owing to enhanced PAA chain friction or larger Kuhn length according to higher flow retardation due to chain stiffness. The corresponding viscosity profile inside the channel is also examined with variations of pH and concentration of PAA dispersion. Furthermore, this study is expected to promote the design platform by machine learning approaches. [1] S. Das, M. Banik, G. Chen, S. Sinha, R. Mukherjee, Soft Matter 11 , 8550 (2015). [2] J.O. Zoppe, N.C. Ataman, P. Mocny, J. Wang, J. Moraes, H.-A. Klok, Chem. Rev. 117 , 1105 (2017). [3] K. Yoon, H.W. Jung, M.-S. Chun, Rheol. Acta 56 , 915 (2017)."
488,INS10-0404,,"Symmetric A n B n star polymer melts offer a molecular route for tuning the character of a microphase order-disorder transition (ODT). Earlier second-order random phase approximation (RPA) work by Olvera de la Cruz and Sanchez established that the spinodal is located at ( χN ) s ≃ 10.495 and does not depend on n [1,2]. A subsequent fourth-order calculation by Dobrynin and Erukhimovich showed that the quartic term changes sign for n > 5, indicating that the spinodal criterion alone cannot determine the mean-field ODT once higher-order stabilization becomes important [3]. In this work, we revisit this problem by deriving the lamellar free energy through sixth order in RPA and comparing the result with self-consistent field theory (SCFT). The quartic coefficient changes sign at n tc ≃ 5.4475, and the sixth-order coefficient remains positive in the neighborhood of this point. Consequently, melts with n < n tc enter the ordered state continuously at the spinodal, whereas those with n > n tc exhibit a first-order ODT with ( χN ) ODT < ( χN ) s . Near this tricritical point, the separation between the ODT and the spinodal varies quadratically with n - n tc , in quantitative agreement with the SCFT results. The origin of this behavior can be traced to correlations between distinct arms sharing the same junction; their relative weight increases with n and eventually drives the quartic coefficient negative. The noninteger value of n tc may be viewed as an effective architecture realizable by blending neighboring stars, such as A 5 B 5 and A 6 B 6 . These results identify a rare physical example of tricriticality associated with finite-wavenumber microphase separation and provide a controlled mean-field reference point for future studies of fluctuation effects. References [1] L. Leibler, Macromolecules 13 , 1602 (1980). [2] M. Olvera de la Cruz and I. C. Sanchez, Macromolecules 19 , 2501 (1986). [3] A. V. Dobrynin and I. Y. Erukhimovich, Macromolecules 26 , 276 (1993)."
